rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.36,0.2,95.75
2,2,Bayern Munich,German Bundesliga,3.27,0.35,93.71
3,3,Liverpool,Barclays Premier League,2.87,0.29,92.34
4,4,Barcelona,Spanish Primera Division,2.77,0.44,89.12
5,5,Paris Saint-Germain,French Ligue 1,2.7,0.42,88.91
6,6,Juventus,Italy Serie A,2.58,0.45,87.29
7,7,Real Madrid,Spanish Primera Division,2.56,0.52,85.83
8,10,Chelsea,Barclays Premier League,2.5,0.53,84.99
9,11,Atletico Madrid,Spanish Primera Division,2.22,0.38,84.9
10,8,Borussia Dortmund,German Bundesliga,2.55,0.59,84.44
11,13,Ajax,Dutch Eredivisie,3.01,0.89,83.89
12,14,FC Salzburg,Austrian T-Mobile Bundesliga,3.11,0.99,83.27
13,12,Tottenham Hotspur,Barclays Premier League,2.39,0.59,82.63
14,15,Napoli,Italy Serie A,2.45,0.64,82.28
15,9,RB Leipzig,German Bundesliga,2.3,0.6,81.42
16,16,Manchester United,Barclays Premier League,2.12,0.49,81.27
17,17,Bayer Leverkusen,German Bundesliga,2.3,0.61,81.11
18,19,Arsenal,Barclays Premier League,2.48,0.75,80.35
19,18,Internazionale,Italy Serie A,2.25,0.62,80.21
20,22,Leicester City,Barclays Premier League,2.03,0.53,79.2
21,21,Sevilla FC,Spanish Primera Division,2.08,0.6,78.4
22,20,FC Porto,Portuguese Liga,2.18,0.66,78.36
23,25,Everton,Barclays Premier League,2.01,0.62,76.75
24,24,Real Sociedad,Spanish Primera Division,2.07,0.67,76.33
25,23,Benfica,Portuguese Liga,2.23,0.8,76.01
26,27,Zenit St Petersburg,Russian Premier Liga,2.03,0.68,75.7
27,26,Athletic Bilbao,Spanish Primera Division,1.8,0.53,75.44
28,30,Getafe,Spanish Primera Division,1.88,0.61,74.87
29,33,PSV,Dutch Eredivisie,2.35,0.95,74.54
30,31,Valencia,Spanish Primera Division,2.13,0.8,74.32
31,29,Olympiacos,Greek Super League,2.19,0.85,74.3
32,35,Villarreal,Spanish Primera Division,2.12,0.82,73.74
33,34,Eibar,Spanish Primera Division,1.87,0.66,73.46
34,39,AS Roma,Italy Serie A,2.1,0.83,73.31
35,28,AC Milan,Italy Serie A,1.96,0.74,73.15
36,43,Schalke 04,German Bundesliga,2.01,0.78,72.89
37,37,Eintracht Frankfurt,German Bundesliga,2.0,0.79,72.66
38,36,Flamengo,Brasileiro Série A,1.96,0.77,72.25
39,40,Lyon,French Ligue 1,1.97,0.79,72.11
40,41,VfL Wolfsburg,German Bundesliga,1.89,0.74,71.97
41,44,Borussia Monchengladbach,German Bundesliga,2.04,0.85,71.83
42,38,Wolverhampton,Barclays Premier League,1.82,0.69,71.81
43,42,Lazio,Italy Serie A,1.97,0.81,71.62
44,32,TSG Hoffenheim,German Bundesliga,2.19,0.97,71.57
45,52,Southampton,Barclays Premier League,1.91,0.81,70.68
46,63,Club Brugge,Belgian Jupiler League,2.07,0.93,70.63
47,49,Basel,Swiss Raiffeisen Super League,2.24,1.06,70.61
48,46,Crystal Palace,Barclays Premier League,1.87,0.79,70.37
49,58,Atalanta,Italy Serie A,2.03,0.91,70.36
50,45,West Ham United,Barclays Premier League,1.96,0.87,70.0
51,48,Shakhtar Donetsk,UEFA Champions League,2.1,0.98,69.9
52,54,Burnley,Barclays Premier League,1.87,0.81,69.81
53,69,Fiorentina,Italy Serie A,1.97,0.89,69.78
54,53,FC Krasnodar,Russian Premier Liga,1.97,0.89,69.55
55,51,Lille,French Ligue 1,1.77,0.75,69.54
56,47,Young Boys,Swiss Raiffeisen Super League,2.25,1.11,69.52
57,60,CSKA Moscow,Russian Premier Liga,1.83,0.81,69.27
58,57,Osasuna,Spanish Primera Division,1.72,0.72,69.25
59,56,Granada,Spanish Primera Division,1.76,0.75,69.13
60,62,Werder Bremen,German Bundesliga,2.02,0.95,69.09
61,55,Palmeiras,Brasileiro Série A,1.7,0.71,68.99
62,50,Real Betis,Spanish Primera Division,1.93,0.91,68.7
63,59,AFC Bournemouth,Barclays Premier League,2.09,1.04,68.46
64,66,Leganes,Spanish Primera Division,1.61,0.68,68.09
65,81,Hertha Berlin,German Bundesliga,1.96,0.96,67.89
66,61,River Plate,Argentina Primera Division,1.85,0.88,67.86
67,65,Leeds United,English League Championship,1.78,0.83,67.62
68,77,Fulham,English League Championship,1.83,0.89,67.12
69,72,PAOK Salonika,Greek Super League,2.05,1.06,67.11
70,68,Dinamo Zagreb,UEFA Champions League,2.06,1.08,66.87
71,74,Celta Vigo,Spanish Primera Division,1.81,0.89,66.63
72,67,Celtic,Scottish Premiership,1.88,0.95,66.58
73,70,Espanyol,Spanish Primera Division,1.76,0.86,66.52
74,80,Ludogorets,UEFA Europa League,1.82,0.92,66.11
75,78,Watford,Barclays Premier League,1.95,1.04,65.89
76,64,Newcastle,Barclays Premier League,1.69,0.83,65.84
77,73,Brighton and Hove Albion,Barclays Premier League,1.69,0.83,65.79
78,82,Sheffield United,Barclays Premier League,1.68,0.83,65.49
79,79,Dynamo Kiev,UEFA Europa League,1.86,0.98,65.46
80,76,Lokomotiv Moscow,Russian Premier Liga,1.74,0.9,65.23
81,91,Alavés,Spanish Primera Division,1.59,0.78,65.02
82,75,Galatasaray,Turkish Turkcell Super Lig,1.87,1.02,64.75
83,84,Levante,Spanish Primera Division,1.94,1.08,64.72
84,99,AS Monaco,French Ligue 1,1.83,1.0,64.62
85,83,Angers,French Ligue 1,1.65,0.85,64.58
86,86,Mainz,German Bundesliga,1.92,1.07,64.54
87,89,Montpellier,French Ligue 1,1.53,0.75,64.5
88,98,Real Valladolid,Spanish Primera Division,1.66,0.86,64.35
89,87,Sporting CP,Portuguese Liga,1.78,0.96,64.34
90,104,Rangers,Scottish Premiership,1.97,1.12,64.27
91,90,Bologna,Italy Serie A,1.71,0.91,64.17
92,85,Aston Villa,Barclays Premier League,1.73,0.93,64.12
93,92,SC Freiburg,German Bundesliga,1.82,1.01,64.0
94,71,Marseille,French Ligue 1,1.67,0.89,64.0
95,97,Nantes,French Ligue 1,1.54,0.78,63.95
96,88,Grêmio,Brasileiro Série A,1.69,0.91,63.9
97,108,LASK Linz,Austrian T-Mobile Bundesliga,1.77,0.98,63.77
98,93,Norwich City,Barclays Premier League,1.76,0.99,63.19
99,106,Red Star Belgrade,UEFA Champions League,2.04,1.25,62.82
100,96,Boca Juniors,Argentina Primera Division,1.51,0.83,62.04
101,95,FC Copenhagen,Danish SAS-Ligaen,1.84,1.12,61.94
102,100,Mallorca,Spanish Primera Division,1.66,0.97,61.7
103,107,Slavia Prague,UEFA Champions League,1.84,1.14,61.52
104,110,Guangzhou Evergrande,Chinese Super League,1.84,1.14,61.42
105,102,Genk,Belgian Jupiler League,1.88,1.18,61.36
106,94,FC Cologne,German Bundesliga,1.65,0.98,61.25
107,101,Fortuna Düsseldorf,German Bundesliga,1.85,1.16,61.18
108,112,Los Angeles FC,Major League Soccer,2.04,1.34,60.78
