rank,name,confed,off,def,spi
1,Spain,UEFA,3.47,0.55,91.68
2,Brazil,CONMEBOL,2.92,0.34,91.04
3,Germany,UEFA,3.16,0.58,89.23
4,Belgium,UEFA,3.0,0.55,88.44
5,Argentina,CONMEBOL,2.5,0.42,86.18
6,Netherlands,UEFA,2.79,0.58,86.15
7,France,UEFA,2.72,0.57,85.63
8,England,UEFA,2.64,0.54,85.36
9,Colombia,CONMEBOL,2.26,0.41,83.74
10,Uruguay,CONMEBOL,2.37,0.5,83.21
11,Portugal,UEFA,2.39,0.57,82.01
12,Italy,UEFA,2.26,0.49,81.95
13,Switzerland,UEFA,2.47,0.69,80.47
14,Croatia,UEFA,2.46,0.77,78.9
15,Mexico,CONCACAF,2.24,0.74,76.36
16,Chile,CONMEBOL,2.16,0.69,76.14
17,Denmark,UEFA,2.08,0.68,75.33
18,Sweden,UEFA,2.09,0.69,75.18
19,Austria,UEFA,2.06,0.7,74.48
20,Russia,UEFA,2.11,0.77,73.58
21,Iran,AFC,1.82,0.58,73.37
22,Ukraine,UEFA,1.95,0.71,72.58
23,Peru,CONMEBOL,1.92,0.69,72.54
24,Serbia,UEFA,2.15,0.88,71.95
25,Algeria,CAF,1.96,0.81,70.27
26,Ghana,CAF,1.64,0.58,69.93
27,USA,CONCACAF,1.88,0.77,69.75
28,Poland,UEFA,1.88,0.78,69.52
29,Senegal,CAF,1.62,0.59,69.39
30,Norway,UEFA,1.87,0.8,68.99
31,Japan,AFC,1.91,0.83,68.85
32,Czech Republic,UEFA,1.92,0.86,68.53
33,Turkey,UEFA,1.9,0.84,68.43
34,Ecuador,CONMEBOL,1.81,0.78,68.42
35,Bosnia and Herzegovina,UEFA,1.93,0.89,68.02
36,Morocco,CAF,1.64,0.67,67.87
37,Paraguay,CONMEBOL,1.84,0.82,67.8
38,Slovakia,UEFA,1.98,0.94,67.66
39,Wales,UEFA,1.77,0.78,67.46
40,Venezuela,CONMEBOL,1.76,0.79,67.13
41,Australia,AFC,1.82,0.87,66.44
42,Mali,CAF,1.6,0.71,65.96
43,South Korea,AFC,1.66,0.8,64.91
44,Ivory Coast,CAF,1.67,0.86,63.71
45,Nigeria,CAF,1.75,0.97,62.58
46,Iceland,UEFA,1.82,1.04,62.42
47,Costa Rica,CONCACAF,1.62,0.89,61.93
48,Romania,UEFA,1.62,0.9,61.67
49,Tunisia,CAF,1.58,0.9,60.81
50,Egypt,CAF,1.62,0.96,60.33
51,Scotland,UEFA,1.63,1.0,59.41
52,Cameroon,CAF,1.52,0.91,59.23
53,Finland,UEFA,1.52,0.92,59.17
54,Slovenia,UEFA,1.49,0.9,58.88
55,Qatar,AFC,1.6,1.03,58.07
56,Northern Ireland,UEFA,1.39,0.84,57.98
57,Rep of Ireland,UEFA,1.4,0.86,57.76
58,Greece,UEFA,1.36,0.85,57.26
59,Canada,CONCACAF,1.7,1.16,57.25
60,Hungary,UEFA,1.57,1.09,56.02
61,Congo DR,CAF,1.53,1.06,55.89
62,Israel,UEFA,1.68,1.21,55.76
63,Zambia,CAF,1.63,1.17,55.65
64,Honduras,CONCACAF,1.6,1.16,55.12
65,Burkina Faso,CAF,1.41,1.0,54.67
66,Kosovo,UEFA,1.5,1.1,54.19
67,Bolivia,CONMEBOL,1.47,1.13,52.93
68,Uzbekistan,AFC,1.26,0.94,52.43
69,Montenegro,UEFA,1.41,1.1,52.33
70,Georgia,UEFA,1.41,1.1,52.23
71,Guinea,CAF,1.36,1.06,51.91
72,Haiti,CONCACAF,1.47,1.19,51.6
73,China PR,AFC,1.33,1.05,51.47
74,Iraq,AFC,1.29,1.03,51.14
75,Belarus,UEFA,1.3,1.04,50.99
76,Bulgaria,UEFA,1.39,1.18,50.07
77,Angola,CAF,1.18,0.98,49.72
78,FYR Macedonia,UEFA,1.3,1.1,49.71
79,Panama,CONCACAF,1.29,1.09,49.55
80,Saudi Arabia,AFC,1.46,1.28,49.37
81,Syria,AFC,1.58,1.41,49.12
82,South Africa,CAF,1.34,1.18,48.94
83,Armenia,UEFA,1.65,1.51,48.7
84,Libya,CAF,1.39,1.25,48.35
85,Togo,CAF,1.25,1.12,47.99
86,Uganda,CAF,1.09,0.99,47.05
87,Albania,UEFA,1.24,1.15,46.99
88,Zimbabwe,CAF,1.39,1.32,46.66
89,Jamaica,CONCACAF,1.31,1.25,46.4
90,Benin,CAF,1.17,1.11,46.3
91,Tanzania,CAF,1.3,1.26,46.12
92,Gabon,CAF,1.05,0.99,45.9
93,Kenya,CAF,1.04,1.02,45.19
94,New Zealand,OFC,1.28,1.29,44.99
95,Cape Verde Islands,CAF,1.08,1.14,43.28
96,El Salvador,CONCACAF,1.1,1.17,43.24
97,Burundi,CAF,1.0,1.05,43.22
98,Bahrain,AFC,0.97,1.04,42.86
99,Congo,CAF,1.34,1.45,42.81
100,Oman,AFC,1.04,1.12,42.74
101,Guatemala,CONCACAF,1.3,1.46,41.8
102,Malawi,CAF,0.74,0.8,41.77
103,Curacao,CONCACAF,1.29,1.47,41.53
104,Namibia,CAF,0.85,0.97,40.94
105,United Arab Emirates,AFC,0.95,1.15,39.63
106,Jordan,AFC,1.0,1.23,39.39
107,Cyprus,UEFA,1.1,1.35,39.22
108,Mauritania,CAF,1.11,1.38,38.99
109,Kazakhstan,UEFA,1.14,1.43,38.72
110,Rwanda,CAF,0.9,1.14,38.54
111,Equatorial Guinea,CAF,1.06,1.35,38.36
112,Liberia,CAF,1.13,1.46,37.87
113,Madagascar,CAF,1.14,1.48,37.83
114,Trinidad and Tobago,CONCACAF,1.11,1.46,37.35
115,Botswana,CAF,0.82,1.1,37.2
116,Gambia,CAF,1.03,1.38,36.94
117,Luxembourg,UEFA,1.13,1.56,35.95
118,Mozambique,CAF,0.98,1.4,35.3
119,Estonia,UEFA,0.94,1.36,35.27
120,Kuwait,AFC,0.9,1.33,34.72
121,Azerbaijan,UEFA,0.92,1.41,33.58
122,Bermuda,CONCACAF,1.28,1.87,33.56
123,Sudan,CAF,0.81,1.28,33.29
124,Cuba,CONCACAF,0.91,1.42,33.14
125,Lesotho,CAF,0.81,1.29,33.09
126,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
127,Palestine,AFC,0.94,1.52,32.07
128,Guinea-Bissau,CAF,0.94,1.55,31.59
129,Nicaragua,CONCACAF,0.98,1.61,31.4
130,Moldova,UEFA,0.85,1.44,31.3
131,Lebanon,AFC,0.63,1.12,31.25
132,Dominican Republic,CONCACAF,1.1,1.78,31.24
133,Sierra Leone,CAF,1.03,1.7,30.96
134,Lithuania,UEFA,1.02,1.7,30.72
135,North Korea,AFC,0.98,1.65,30.68
136,Niger,CAF,0.91,1.56,30.62
137,Chad,CAF,1.0,1.7,30.31
138,Ethiopia,CAF,0.72,1.32,30.01
139,Vietnam,AFC,0.71,1.35,29.23
140,Central African Republic,CAF,1.06,1.85,29.14
141,Thailand,AFC,0.9,1.66,28.53
142,Kyrgyzstan,AFC,0.76,1.57,26.72
143,Antigua and Barbuda,CONCACAF,1.12,2.11,26.42
144,Martinique,CONCACAF,0.94,1.85,26.34
145,Fiji,OFC,0.69,1.5,26.09
146,Comoros,CAF,0.91,1.86,25.51
147,Guyana,CONCACAF,1.13,2.22,25.06
148,Belize,CONCACAF,0.79,1.73,24.84
149,Latvia,UEFA,0.79,1.73,24.73
150,Turkmenistan,AFC,0.74,1.66,24.62
151,Suriname,CONCACAF,0.76,1.71,24.52
152,Faroe Islands,UEFA,0.79,1.78,24.21
153,Swaziland,CAF,0.62,1.61,22.71
154,Solomon Islands,OFC,0.69,1.71,22.71
155,Barbados,CONCACAF,0.52,1.51,21.62
156,India,AFC,0.62,1.69,21.47
157,Tajikistan,AFC,0.65,1.75,21.33
158,New Caledonia,OFC,0.69,1.85,20.92
159,Puerto Rico,CONCACAF,0.74,2.0,19.89
160,Tahiti,OFC,0.81,2.15,19.56
161,Yemen,AFC,0.57,1.82,18.63
162,Philippines,AFC,0.82,2.26,18.48
163,Dominica,CONCACAF,0.47,1.66,18.28
164,Malta,UEFA,0.64,1.97,18.15
165,South Sudan,CAF,0.74,2.15,18.03
166,St. Lucia,CONCACAF,0.64,2.04,17.39
167,Eritrea,CAF,0.75,2.25,17.16
168,Mauritius,CAF,0.72,2.2,17.11
169,Malaysia,AFC,0.73,2.23,17.07
170,Sao Tome and Principe,CAF,0.76,2.31,16.76
171,Singapore,AFC,0.61,2.05,16.55
172,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
173,Grenada,CONCACAF,0.68,2.22,16.04
174,Vanuatu,OFC,0.67,2.22,16.02
175,Hong Kong,AFC,0.38,1.67,15.88
176,Liechtenstein,UEFA,0.64,2.26,14.98
177,Indonesia,AFC,0.69,2.44,14.11
178,Gibraltar,UEFA,0.52,2.13,13.94
179,Andorra,UEFA,0.29,1.82,12.15
180,Afghanistan,AFC,0.57,2.58,10.81
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Montserrat,CONCACAF,0.81,3.24,9.65
183,Cayman Islands,CONCACAF,0.4,2.41,9.43
184,Papua New Guinea,OFC,0.6,2.88,9.16
185,Myanmar,AFC,0.39,2.44,9.05
